Lionel Andrés Messi is an Argentine professional footballer who plays as a forward and captains both Spanish club Barcelona and the Argentina national,Lionel Messi,https://upload.wikimedia.org/wikipedia/commons/d/d9/Lionel_Messi_20180626_%28cropped%29.jpg
Cristiano Ronaldo dos Santos Aveiro GOIH ComM is a Portuguese professional footballer who plays as a forward for Serie A club Juventus and captains the Portugal national team,Cristiano Ronaldo,https://i2-prod.mirror.co.uk/incoming/article24231980.ece/ALTERNATES/s615b/0_Cristiano-Ronaldo-LiveScore-Landscape.jpg
Sergio Leonel Agüero del Castillo also known as Kun Agüero is an Argentine professional footballer who plays as a striker for Premier League club Manchester City and the Argentina national team,Sergio Agüero,https://e0.365dm.com/21/05/768x432/skysports-sergio-aguero-barcelona_5401274.jpg?20210531191509ssano_homepage_before.jpg
Andrés Iniesta Luján is a Spanish professional footballer who plays as a central midfielder and is the captain of J1 League club Vissel Kobe,Andrés Iniesta,https://thumbor.forbes.com/thumbor/fit-in/416x416/filters%3Aformat%28jpg%29/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5ecead3f0ca011000726427e%2F0x0.jpg%3Fbackground%3D000000%26cropX1%3D0%26cropX2%3D1669%26cropY1%3D79%26cropY2%3D1750
Zlatan Ibrahimović is a Swedish professional footballer who plays as a striker for Serie A club A.C. Milan and the Sweden national team,Zlatan Ibrahimović,https://images.daznservices.com/di/library/GOAL/8/44/zlatan-ibrahimovic-ac-milan-2020-21_snl8sl6x0jcv1xhgdbgs63z59.jpg?t=2143866343&quality=60&w=1200&h=800
Marcelo Vieira da Silva Júnior known as Marcelo is a Brazilian professional footballer who plays as a left back for Spanish club Real Madrid and the Brazil national team,Marcelo Vieira,https://i.pinimg.com/originals/46/e1/e8/46e1e87fcc481a9cbe58b189559ae2a1.jpg
Mesut Özil is a German professional footballer who plays as an attacking midfielder for Süper Lig club Fenerbahçe,Mesut Özil,https://upload.wikimedia.org/wikipedia/commons/1/12/Mesut_%C3%96zil_at_Baku_before_2019_UEFA_Europe_League_Final.jpg
Gerard Piqué Bernabeu is a Spanish professional footballer who plays as a centre-back for Barcelona. He is considered as one of the best defenders of his generation. Originally one of the most promising students at La Masia Piqué joined the Manchester United academy in 2004,Gerard Piqué,https://pbs.twimg.com/media/EEdA1xGX4AAOnPJ.jpg
Sergio Ramos García is a Spanish professional footballer who plays as a centre-back and captains both La Liga club Real Madrid and the Spanish national team,Sergio Ramos,https://upload.wikimedia.org/wikipedia/commons/4/43/Russia-Spain_2017_%286%29.jpg
Diego Armando Maradona was an Argentine professional footballer and manager. Widely regarded as one of the greatest players in the history of the sport he was one of the two joint winners of the FIFA Player of the 20th Century award,Diego Maradona,https://upload.wikimedia.org/wikipedia/commons/4/48/Argentina_celebrando_copa_%28cropped%29.jpg
